food_key,food_ja,scope,n_sources,layer,n_pubmed,n_openalex,n_cinii,pubmed_query,openalex_query,cinii_query,L2_screened
bell pepper,パプリカ,sensitivity,2,L1,627,,448.0,"""bell pepper""[tiab]",,パプリカ,
bell pepper,パプリカ,sensitivity,2,L2,4,268.0,,"""bell pepper""[tiab] AND (""body temperature""[tiab] OR ""core temperature""[tiab] OR ""skin temperature""[tiab] OR ""tympanic temperature""[tiab] OR ""axillary temperature""[tiab] OR ""rectal temperature""[tiab] OR ""oral temperature""[tiab] OR thermogenesis[tiab] OR ""thermic effect""[tiab] OR ""heat production""[tiab] OR ""energy expenditure""[tiab] OR ""metabolic rate""[tiab] OR ""peripheral circulation""[tiab] OR ""blood flow""[tiab] OR microcirculation[tiab] OR thermoregulation[tiab] OR ""cold tolerance""[tiab] OR ""cold exposure""[tiab] OR ""thermal sensation""[tiab] OR ""thermal comfort""[tiab] OR ""cold sensitivity""[tiab] OR ""cold hypersensitivity""[tiab])","""bell pepper"" AND (""body temperature"" OR ""core temperature"" OR ""skin temperature"" OR ""tympanic temperature"" OR ""axillary temperature"" OR ""rectal temperature"" OR ""oral temperature"" OR thermogenesis OR ""thermic effect"" OR ""heat production"" OR ""energy expenditure"" OR ""metabolic rate"" OR ""peripheral circulation"" OR ""blood flow"" OR microcirculation OR thermoregulation OR ""cold tolerance"" OR ""cold exposure"" OR ""thermal sensation"" OR ""thermal comfort"" OR ""cold sensitivity"" OR ""cold hypersensitivity"")",,0.0
bell pepper,パプリカ,sensitivity,2,L3,0,,,"""bell pepper""[tiab] AND (""body temperature""[tiab] OR ""core temperature""[tiab] OR ""skin temperature""[tiab] OR ""tympanic temperature""[tiab] OR ""axillary temperature""[tiab] OR ""rectal temperature""[tiab] OR ""oral temperature""[tiab] OR thermogenesis[tiab] OR ""thermic effect""[tiab] OR ""heat production""[tiab] OR ""energy expenditure""[tiab] OR ""metabolic rate""[tiab] OR ""peripheral circulation""[tiab] OR ""blood flow""[tiab] OR microcirculation[tiab] OR thermoregulation[tiab] OR ""cold tolerance""[tiab] OR ""cold exposure""[tiab] OR ""thermal sensation""[tiab] OR ""thermal comfort""[tiab] OR ""cold sensitivity""[tiab] OR ""cold hypersensitivity""[tiab]) AND ""randomized controlled trial""[pt]",,,
duck meat,鴨,sensitivity,2,L1,300,,23442.0,"""duck meat""[tiab]",,鴨,
duck meat,鴨,sensitivity,2,L2,1,121.0,,"""duck meat""[tiab] AND (""body temperature""[tiab] OR ""core temperature""[tiab] OR ""skin temperature""[tiab] OR ""tympanic temperature""[tiab] OR ""axillary temperature""[tiab] OR ""rectal temperature""[tiab] OR ""oral temperature""[tiab] OR thermogenesis[tiab] OR ""thermic effect""[tiab] OR ""heat production""[tiab] OR ""energy expenditure""[tiab] OR ""metabolic rate""[tiab] OR ""peripheral circulation""[tiab] OR ""blood flow""[tiab] OR microcirculation[tiab] OR thermoregulation[tiab] OR ""cold tolerance""[tiab] OR ""cold exposure""[tiab] OR ""thermal sensation""[tiab] OR ""thermal comfort""[tiab] OR ""cold sensitivity""[tiab] OR ""cold hypersensitivity""[tiab])","""duck meat"" AND (""body temperature"" OR ""core temperature"" OR ""skin temperature"" OR ""tympanic temperature"" OR ""axillary temperature"" OR ""rectal temperature"" OR ""oral temperature"" OR thermogenesis OR ""thermic effect"" OR ""heat production"" OR ""energy expenditure"" OR ""metabolic rate"" OR ""peripheral circulation"" OR ""blood flow"" OR microcirculation OR thermoregulation OR ""cold tolerance"" OR ""cold exposure"" OR ""thermal sensation"" OR ""thermal comfort"" OR ""cold sensitivity"" OR ""cold hypersensitivity"")",,0.0
duck meat,鴨,sensitivity,2,L3,0,,,"""duck meat""[tiab] AND (""body temperature""[tiab] OR ""core temperature""[tiab] OR ""skin temperature""[tiab] OR ""tympanic temperature""[tiab] OR ""axillary temperature""[tiab] OR ""rectal temperature""[tiab] OR ""oral temperature""[tiab] OR thermogenesis[tiab] OR ""thermic effect""[tiab] OR ""heat production""[tiab] OR ""energy expenditure""[tiab] OR ""metabolic rate""[tiab] OR ""peripheral circulation""[tiab] OR ""blood flow""[tiab] OR microcirculation[tiab] OR thermoregulation[tiab] OR ""cold tolerance""[tiab] OR ""cold exposure""[tiab] OR ""thermal sensation""[tiab] OR ""thermal comfort""[tiab] OR ""cold sensitivity""[tiab] OR ""cold hypersensitivity""[tiab]) AND ""randomized controlled trial""[pt]",,,
rapeseed oil,なたね油,sensitivity,2,L1,1896,,338.0,"""rapeseed oil""[tiab]",,なたね油,
rapeseed oil,なたね油,sensitivity,2,L2,14,546.0,,"""rapeseed oil""[tiab] AND (""body temperature""[tiab] OR ""core temperature""[tiab] OR ""skin temperature""[tiab] OR ""tympanic temperature""[tiab] OR ""axillary temperature""[tiab] OR ""rectal temperature""[tiab] OR ""oral temperature""[tiab] OR thermogenesis[tiab] OR ""thermic effect""[tiab] OR ""heat production""[tiab] OR ""energy expenditure""[tiab] OR ""metabolic rate""[tiab] OR ""peripheral circulation""[tiab] OR ""blood flow""[tiab] OR microcirculation[tiab] OR thermoregulation[tiab] OR ""cold tolerance""[tiab] OR ""cold exposure""[tiab] OR ""thermal sensation""[tiab] OR ""thermal comfort""[tiab] OR ""cold sensitivity""[tiab] OR ""cold hypersensitivity""[tiab])","""rapeseed oil"" AND (""body temperature"" OR ""core temperature"" OR ""skin temperature"" OR ""tympanic temperature"" OR ""axillary temperature"" OR ""rectal temperature"" OR ""oral temperature"" OR thermogenesis OR ""thermic effect"" OR ""heat production"" OR ""energy expenditure"" OR ""metabolic rate"" OR ""peripheral circulation"" OR ""blood flow"" OR microcirculation OR thermoregulation OR ""cold tolerance"" OR ""cold exposure"" OR ""thermal sensation"" OR ""thermal comfort"" OR ""cold sensitivity"" OR ""cold hypersensitivity"")",,2.0
rapeseed oil,なたね油,sensitivity,2,L3,5,,,"""rapeseed oil""[tiab] AND (""body temperature""[tiab] OR ""core temperature""[tiab] OR ""skin temperature""[tiab] OR ""tympanic temperature""[tiab] OR ""axillary temperature""[tiab] OR ""rectal temperature""[tiab] OR ""oral temperature""[tiab] OR thermogenesis[tiab] OR ""thermic effect""[tiab] OR ""heat production""[tiab] OR ""energy expenditure""[tiab] OR ""metabolic rate""[tiab] OR ""peripheral circulation""[tiab] OR ""blood flow""[tiab] OR microcirculation[tiab] OR thermoregulation[tiab] OR ""cold tolerance""[tiab] OR ""cold exposure""[tiab] OR ""thermal sensation""[tiab] OR ""thermal comfort""[tiab] OR ""cold sensitivity""[tiab] OR ""cold hypersensitivity""[tiab]) AND ""randomized controlled trial""[pt]",,,
taro,サトイモ,sensitivity,2,L1,669,,2120.0,taro[tiab],,サトイモ,
